runningId,oid_mivne,id_binyan,t_sug_mivne,ms_komot,shem_mivne,t_amudim,id_binyan_orig,gova2009
,25620,27230,____ ____,1,,__,75261,17
,25624,27234,____ ____,5,,__,74112,19
,25625,27235,____ ____,16,,__,73929,61
,25626,27236,____ ____,4,,__,55278,19
,25636,27246,____ ____,5,,_____ ____ ______,74110,18
,25637,27247,____ ____,5,,__,65888,19
,25651,27261,____ ____,5,,__,73088,25
,25652,27262,____ ____,5,,_____ ____ ______,74031,17
,25653,27263,____ ____,1,,__,73895,22
,25654,27264,____ ____,5,,__,73927,22
,25655,27265,____ ____,5,,_____ ____ ______,142822,22
,25656,27266,____ ____,4,,_____ ____ ______,75178,15
,25657,27267,____ ____,4,,__,75137,15
,25658,27268,____ ____,4,,__,75138,18
,25659,27269,____ ____,4,,__,75115,18
,25660,27270,____ ____,3,,__,130222,16
,25661,27271,____ ____,4,,__,73902,16
,25662,27272,____ ____,6,,__,73746,23
,25663,27273,____ ____,4,,__,73931,16
,25665,27275,____ ____,4,,_____ ____ ______,74027,14
,25666,27276,____ ____,4,,_____ ____ ______,74029,14
,25669,27279,____ ____,3,,__,85688,14
,25670,27280,____ ____,1,,__,73076,21
,25671,27281,____ ____,2,,__,130262,10
,25672,27282,____ ____,4,,__,75465,15
,25673,27283,____ ____,3,,__,73048,14
,25674,27284,____ ____,1,,__,73051,7
,25675,27285,____ ____,4,,__,73306,20
,25676,27286,____ ____,5,,__,73041,22
,25679,27289,____ ____,3,,__,75112,11
,25680,27290,____ ____,1,,__,50826,14
,25681,27291,____ ____,5,,__,65895,19
,25682,27292,____ ____,5,,__,65896,21
,25683,27293,____ ____,5,,__,65893,19
,25684,27294,____ ____,4,,__,65892,14
,25685,27295,____ ____,4,,_____ ____ ______,74136,15
,25686,27296,____ ____,3,,__,74138,15
,25687,27297,____ ____,4,,_____ ____ ______,74134,19
,25688,27298,____ ____,5,,__,73080,20
,25689,27299,____ ____,4,,__,73082,20
,25690,27300,____ ____,1,,__,73078,21
,25691,27301,____ ____,5,,__,74033,17
,25692,27302,____ ____,4,,_____ ____ ______,75219,15
,25693,27303,____ ____,3,,_____ ____ ______,75221,15
,25694,27304,____ ____,4,,__,73909,19
,25695,27305,____ ____,6,,__,73917,23
,25696,27306,____ ____,3,,__,73915,15
,25697,27307,____ ____,4,,__,73714,15
,25698,27308,____ ____,3,,__,75075,17
,25699,27309,____ ____,3,,__,73286,17
,25700,27310,____ ____,4,,_____ ____ ______,73785,20
,25701,27311,____ ____,4,,__,73750,20
,25702,27312,____ ____,4,,__,74009,14
,25703,27313,____ ____,4,,_____ ____ ______,74021,18
,25704,27314,____ ____,4,,__,55274,18
